GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOIE001,NAME_M,JOIM001
"G0100670","2006-2010",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",38379,"Henry County, Alabama",2649
"G0100690","2006-2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",41022,"Houston County, Alabama",896
"G0100710","2006-2010",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",36312,"Jackson County, Alabama",2091
"G0100730","2006-2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",45244,"Jefferson County, Alabama",641
"G0100750","2006-2010",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",33887,"Lamar County, Alabama",3605
"G0100770","2006-2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",39345,"Lauderdale County, Alabama",1339
"G0100790","2006-2010",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",40516,"Lawrence County, Alabama",2726
"G0100810","2006-2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",40894,"Lee County, Alabama",1162
"G0100830","2006-2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",46682,"Limestone County, Alabama",1483
"G0100850","2006-2010",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",29714,"Lowndes County, Alabama",2660
