STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code
5,63,Arkansas,Independence County,2000,34233,AR
5,65,Arkansas,Izard County,2000,13249,AR
5,67,Arkansas,Jackson County,2000,18418,AR
5,69,Arkansas,Jefferson County,2000,84278,AR
5,71,Arkansas,Johnson County,2000,22781,AR
5,73,Arkansas,Lafayette County,2000,8559,AR
5,75,Arkansas,Lawrence County,2000,17774,AR
5,77,Arkansas,Lee County,2000,12580,AR
5,79,Arkansas,Lincoln County,2000,14492,AR
5,81,Arkansas,Little River County,2000,13628,AR
5,83,Arkansas,Logan County,2000,22486,AR
5,85,Arkansas,Lonoke County,2000,52828,AR
5,87,Arkansas,Madison County,2000,14243,AR
5,89,Arkansas,Marion County,2000,16140,AR
5,91,Arkansas,Miller County,2000,40443,AR
5,93,Arkansas,Mississippi County,2000,51979,AR
5,95,Arkansas,Monroe County,2000,10254,AR
5,97,Arkansas,Montgomery County,2000,9245,AR
5,99,Arkansas,Nevada County,2000,9955,AR
5,101,Arkansas,Newton County,2000,8608,AR
5,103,Arkansas,Ouachita County,2000,28790,AR
5,105,Arkansas,Perry County,2000,10209,AR
5,107,Arkansas,Phillips County,2000,26445,AR
5,109,Arkansas,Pike County,2000,11303,AR
5,111,Arkansas,Poinsett County,2000,25614,AR
5,113,Arkansas,Polk County,2000,20229,AR
5,115,Arkansas,Pope County,2000,54469,AR
5,117,Arkansas,Prairie County,2000,9539,AR
5,119,Arkansas,Pulaski County,2000,361474,AR
5,121,Arkansas,Randolph County,2000,18195,AR
5,123,Arkansas,St. Francis County,2000,29329,AR
5,125,Arkansas,Saline County,2000,83529,AR
5,127,Arkansas,Scott County,2000,10996,AR
5,129,Arkansas,Searcy County,2000,8261,AR
5,131,Arkansas,Sebastian County,2000,115071,AR
5,133,Arkansas,Sevier County,2000,15757,AR
5,135,Arkansas,Sharp County,2000,17119,AR
5,137,Arkansas,Stone County,2000,11499,AR
5,139,Arkansas,Union County,2000,45629,AR
5,141,Arkansas,Van Buren County,2000,16192,AR
5,143,Arkansas,Washington County,2000,157715,AR
5,145,Arkansas,White County,2000,67165,AR
5,147,Arkansas,Woodruff County,2000,8741,AR
5,149,Arkansas,Yell County,2000,21139,AR
6,1,California,Alameda County,2000,1443741,CA
6,3,California,Alpine County,2000,1208,CA
6,5,California,Amador County,2000,35100,CA
6,7,California,Butte County,2000,203171,CA
6,9,California,Calaveras County,2000,40554,CA
6,11,California,Colusa County,2000,18804,CA
6,13,California,Contra Costa County,2000,948816,CA
6,15,California,Del Norte County,2000,27507,CA
6,17,California,El Dorado County,2000,156299,CA
6,19,California,Fresno County,2000,799407,CA
6,21,California,Glenn County,2000,26453,CA
6,23,California,Humboldt County,2000,126518,CA
6,25,California,Imperial County,2000,142361,CA
6,27,California,Inyo County,2000,17945,CA
6,29,California,Kern County,2000,661645,CA
6,31,California,Kings County,2000,129461,CA
6,33,California,Lake County,2000,58309,CA
6,35,California,Lassen County,2000,33828,CA
6,37,California,Los Angeles County,2000,9519338,CA
6,39,California,Madera County,2000,123109,CA
6,41,California,Marin County,2000,247289,CA
6,43,California,Mariposa County,2000,17130,CA
6,45,California,Mendocino County,2000,86265,CA
6,47,California,Merced County,2000,210554,CA
